nodeIdx,nodeName,nodeType
805,경력개발센터,1
806,글로벌경영교육인증센터,1
807,팀플실,1
808,해룡당,1
809,컴퓨터실습실3,1
810,블록체인서비스연구센터,1
811,블록체인서비스연구센터,1
812,신기능이미징연구소,1
813,한국전자무역연구소,1
814,814,1
815,세미나실,1
816,다빈치SW교육원,1
817,HK+(접경인문학)연구단사무실,1
818,818,1
819,819,1
820,다빈치SW교육원,1
821,학습혁신신지원팀,1
822,다빈치학습혁신원장실,1
823,프로젝트회의실,1
824,프로젝트회의실,1
825,프로젝트회의실,1
826,프로젝트회의실,1
827,HK+(접경인문학)연구단연구교수실,1
828,인문콘텐츠연구소HK+사업단,1
940,갈라스박창현교수실,1
939,939,1
941,941,1
938,안대용교수실,1
942,성충기교수실,1
937,한태건임성종교수실,1
943,이미리교수실,1
936,박수연교수실,1
944,한승회교수실,1
935,박찬균이일한교수실,1
945,여은정교수실,1
934,산업경영연구소,1
946,이남석교수실,1
933,교수휴게실,1
947,모경원교수실,1
948,정준영교수실,1
949,임대천교수실,1
950,김태하교수실,1
951,김현철교수실,1
901,MBA강의실,1
902,MBA강의실,1
903,MBA강의실,1
904,MBA강의실,1
905,MBA열람실,1
906,경영전문대학원교학지원팀,1
907,MBA현장실습실1,1
908,MBA현장실습실2,1
909,MBA휴게실,1
910,MBA원우회실,1
911,MBA세미나실,1
912,MBA세미나실,1
913,팀플룸(MBA),1
914,팀플룸(MBA),1
915,팀플룸(MBA),1
917,팀플룸,1
918,팀플룸,1
919,팀플룸,1
916,세미나실,1
920,920,1
921,921,1
922,922,1
923,세미나실,1
924,강사휴게실,1
925,925,1
926,926,1
927,927,1
928,928,1
930,세미나실,1
931,세미나실,1
932,932,1
1011,1011,1
1010,1010,1
1012,이재우교수실,1
1009,이정희교수실,1
1013,장혁교수실,1
1008,이충배교수실,1
1014,고선교수실,1
1007,하영복박근식교수실,1
1015,송원호교수실,1
1006,폴린교수실,1
1016,강창희교수실,1
1017,김배근교수실,1
1004,1004,1
1003,1003,1
1002,1002,1
1001,1001,1
1018,허식교수실,1
1019,박완규교수실,1
1020,이한영교수실,1
1021,박성용교수실,1
1022,진현정교수실,1
1023,이종철교수실,1
1024,서상원교수실,1
1025,류덕현교수실,1
1026,김자욱교수실,1
1027,김정인교수실,1
1028,송청석교수실,1
1029,이광훈교수실,1
1040,경제연구소,1
1030,안일태교수실,1
1031,김승욱교수실,1
1032,이상규교수실,1
1033,이재현교수실,1
1034,김영희교수실,1
1035,김상용교수실,1
1036,박상규교수실,1
1037,박창순교수실,1
1038,방희석교수실,1
1039,우수한교수실,1
1041,국제물류전문인력네트워크사업단,1
1042,해운물류사업단,1
1043,빅데이터분석실,1
1044,산업보안정책연구실,1
1047,1047,1
1048,김유승교수실,1
1049,김원국교수실,1
1050,황범석교수실,1
1051,임정원교수실,1
1052,성병찬교수실,1
1111,1111,1
1110,1110,1
1112,황선용교수실,1
1109,류승완교수실,1
1113,허석균교수실,1
1108,이지은교수실,1
1114,정도진교수실,1
1107,박연우교수실,1
1115,김창수교수실,1
1106,송수영교수실,1
1116,김규형교수실,1
1105,황금주교수실,1
1117,김성근교수실,1
1104,박창균교수실,1
1118,나영교수실,1
1103,신인석교수실,1
1119,정현배교수실,1
1102,경선민교수실,1
1101,서용원교수실,1
1120,박세권교수실,1
1121,최명길교수실,1
1122,차운아교수실,1
1123,권혁인교수실,1
1124,한주희교수실,1
1125,허연교수실,1
1126,황인태교수실,1
1127,임청우교수실,1
1128,이시영교수실,1
1129,장향배교수실,1
1130,이창무교수실,1
1131,김정덕교수실,1
1132,리선경교수실,1
1133,성민정교수실,1
1134,조정식교수실,1
1135,황장선교수실,1
1136,이명천교수실,1
1137,경영연구소,1
1138,동북아물류유통연구소,1
1139,산업보안정책연구소,1
1142,신동천교수실,1
1143,김정현교수실,1
1144,홍혜연교수실,1
1211,1211,1
1210,1210,1
1212,이관영교수실,1
1209,전병준교수실,1
1213,박재환교수실,1
1208,조유현교수실,1
1214,황성민교수실,1
1207,김효선교수실,1
1215,위정현교수실,1
1206,유시용교수실,1
1216,최국현교수실,1
1205,이종견교수실,1
1217,김진수교수실,1
1204,서현석교수실,1
1218,임병하교수실,1
1203,이용근교수실,1
1219,오규택교수실,1
1202,최창범교수실,1
1201,남인우교수실,1
1220,김영일교수실,1
1221,이진용교수실,1
1222,안병석교수실,1
1223,정연양교수실,1
1224,임성준교수실,1
1225,박해철교수실,1
1226,전영순교수실,1
1227,홍철규교수실,1
1228,킹창봉교수실,1
1229,박찬희교수실,1
1230,김동순교수실,1
1231,최인혁교수실,1
1232,홍일유교수실,1
1234,세미나실,1
1235,데이터과학연구소,1
