Source,Dest,Weight,비고,
601,EV0606,20,강의실 B,엘베 d
602,EV0606,20,,
603,EV0606,20,,
604,EV0606,20,,
601,EV0706,20,,
602,EV0706,20,,
603,EV0706,20,,
604,EV0706,20,,
601,EV1006,20,,
602,EV1006,20,,
603,EV1006,20,,
604,EV1006,20,,
601,ST1106,20,,
602,ST1106,20,,
603,ST1106,20,,
604,ST1106,20,,
601,ST1206,20,,
602,ST1206,20,,
603,ST1206,20,,
604,ST1206,20,,
601,ST1006,40,강의실 B,엘베 c
602,ST1006,40,,
603,ST1006,40,,
604,ST1006,40,,
601,EV0206,80,강의실 B,엘베 a
602,EV0206,80,,
603,EV0206,80,,
604,EV0206,80,,
601,EV0406,80,,
602,EV0406,80,,
603,EV0406,80,,
604,EV0406,80,,
601,EV0506,80,,
602,EV0506,80,,
603,EV0506,80,,
604,EV0506,80,,
601,ST0306,80,,
602,ST0306,80,,
603,ST0306,80,,
604,ST0306,80,,
601,ST0906,80,,
602,ST0906,80,,
603,ST0906,80,,
604,ST0906,80,,
601,EV1206,80,강의실 B,엘베 b
602,EV1206,80,,
603,EV1206,80,,
604,EV1206,80,,
601,ST0506,80,,
602,ST0506,80,,
603,ST0506,80,,
604,ST0506,80,,
