nodeIdx,nodeName,nodeType
1216,최국현교수실,1
1205,이종견교수실,1
1217,김진수교수실,1
1204,서현석교수실,1
1218,임병하교수실,1
1203,이용근교수실,1
1219,오규택교수실,1
1202,최창범교수실,1
1201,남인우교수실,1
1220,김영일교수실,1
1221,이진용교수실,1
1222,안병석교수실,1
1223,정연양교수실,1
1224,임성준교수실,1
1225,박해철교수실,1
1226,전영순교수실,1
1227,홍철규교수실,1
1228,킹창봉교수실,1
1229,박찬희교수실,1
1230,김동순교수실,1
1231,최인혁교수실,1
1232,홍일유교수실,1
1234,세미나실,1
1235,데이터과학연구소,1
